Participant,Timestamp,Exercise,Result,meta_mode,meta_grid_size,meta_cells,meta_points,meta_targets_completed,meta_targets_total,meta_time_limit,meta_duration_s,meta_timed_out,meta_wpm,meta_chunk_size,meta_word_count,meta_chunk_count,meta_comprehension_score,meta_comprehension_total,meta_comprehension_pct,meta_errors,meta_rounds,meta_span_mode,meta_span_width,meta_targets,meta_distractors,meta_speed,meta_accuracy_pct,meta_center_ms,meta_peripheral_ms,meta_center_accuracy_pct,meta_peripheral_accuracy_pct,meta_combined_accuracy_pct,meta_category,meta_display_s,meta_slides,meta_lines_per_slide,meta_wpm_target,meta_wpm_actual,meta_highlight_mode
adam,2026-05-22 23:17,RAPID DECISION,9/25,alternating,5,25,35,9,25,60,61.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
adam,2026-05-22 23:07,CHUNKING,1.5/8,,,,,,,,,,250,3,162,54,1.5,8,19,,,,,,,,,,,,,,,,,,,,
adam,2026-05-22 23:03,Schulte Grid,25/25,,5,25,117,,,,84.3,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
adam,2026-05-22 23:01,Schulte Grid,25/25,,5,25,101,,,,155.7,,,,,,,,,12,,,,,,,,,,,,,,,,,,,
adam,2026-05-22 22:58,EYESPAN,7/10,eyespan,,,,,,,,,,,,,,,,,10,h,50,,,,,,,,,,,,,,,,
adam,2026-05-22 20:54,MOT,26/28,,,,,,,,6,,,,,,,,,,7,,,4,6,4,93,,,,,,,,,,,,
adam,2026-05-22 20:52,SPLIT ATTENTION,29/30,sequential,,,,,,,,,,,,,,,,,,,,,,,,80,60,100,93,97,,,,,,,
adam,2026-05-22 20:50,SLIDE PROCESSING,8/15,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,humor,10,5,6,,,
adam,2026-05-22 20:39,Schulte Grid,25/25,,5,25,121,,,,88.5,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
adam,2026-05-22 20:37,Schulte Grid,25/25,,5,25,109,,,,114.9,,,,,,,,,8,,,,,,,,,,,,,,,,,,,
adam,2026-05-22 20:30,Schulte Grid,25/25,,5,25,117,,,,75.8,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
adam,2026-05-22 20:29,Schulte Grid,25/25,,5,25,101,,,,157.3,,,,,,,,,12,,,,,,,,,,,,,,,,,,,
adam,2026-05-22 20:25,Schulte Grid,25/25,,5,25,99,,,,214.4,,,,,,,,,13,,,,,,,,,,,,,,,,,,,
adam,2026-05-22 20:16,EYESPAN,5/10,eyespan,,,,,,,,,,,,,,,,,10,h,50,,,,,,,,,,,,,,,,
adam,2026-05-22 20:13,PACER,0.5/8,,,,,,,,85.5,,,3,162,,0.5,8,6,,,,,,,,,,,,,,,,,,300,113,single
adam,2026-05-22 20:11,Schulte Grid,25/25,,5,25,109,,,,119.4,,,,,,,,,8,,,,,,,,,,,,,,,,,,,
adam,2026-05-22 20:09,EYESPAN,8/8,eyespan,,,,,,,,,,,,,,,,,8,h,30,,,,,,,,,,,,,,,,
adam,2026-05-22 20:08,FLASH_NUM,9/10,flash_num,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,
adam,2026-05-21 22:20,MOT,20/20,,,,,,,,6,,,,,,,,,,5,,,4,6,4,100,,,,,,,,,,,,
adam,2026-05-21 22:19,MOT,18/20,,,,,,,,6,,,,,,,,,,5,,,4,6,3,90,,,,,,,,,,,,
adam,2026-05-21 20:15,MOT,18/20,,,,,,,,8,,,,,,,,,,5,,,4,5,3,90,,,,,,,,,,,,
adam,2026-05-21 20:13,SPLIT ATTENTION,27/30,simultaneous,,,,,,,,,,,,,,,,,,,,,,,,120,100,87,93,90,,,,,,,
adam,2026-05-21 20:12,MOT,15/15,,,,,,,,6,,,,,,,,,,5,,,3,5,3,100,,,,,,,,,,,,
adam,2026-05-21 20:10,SPLIT ATTENTION,25/30,sequential,,,,,,,,,,,,,,,,,,,,,,,,120,100,93,73,83,,,,,,,
adam,2026-05-21 20:09,Schulte Grid,25/25,,5,25,107,,,,153.5,,,,,,,,,9,,,,,,,,,,,,,,,,,,,
adam,2026-05-21 19:59,MOT,15/15,,,,,,,,6,,,,,,,,,,5,,,3,5,3,100,,,,,,,,,,,,
adam,2026-05-21 19:58,PACER,1.5/8,,,,,,,,67.2,,,3,162,,1.5,8,19,,,,,,,,,,,,,,,,,,300,144,single
adam,2026-05-21 19:56,Schulte Grid,25/25,,5,25,111,,,,113.4,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
adam,2026-05-21 19:54,EYESPAN,5/8,eyespan,,,,,,,,,,,,,,,,,8,h,30,,,,,,,,,,,,,,,,
adam,2026-05-21 19:53,FLASH_NUM,10/10,flash_num,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,
adam,2026-05-21 19:49,Schulte Grid,25/25,,5,25,105,,,,144.6,,,,,,,,,10,,,,,,,,,,,,,,,,,,,

Personal Bests
Exercise,Score,Total,Percentage,Date
Schulte Grid,25,25,100.0%,2026-05-21
FLASH_NUM,10,10,100.0%,2026-05-21
EYESPAN,8,8,100.0%,2026-05-22
PACER,1.5,8,18.8%,2026-05-21
MOT,15,15,100.0%,2026-05-21
SPLIT ATTENTION,29,30,96.7%,2026-05-22
SLIDE PROCESSING,8,15,53.3%,2026-05-22
CHUNKING,1.5,8,18.8%,2026-05-22
RAPID DECISION,9,25,36.0%,2026-05-22

Summary
Participant,adam
Total XP,3718
Level,4
Sessions,31
Exported,2026-05-28T00:32:28.542255
